DifferenceValue 	 Stop
2077518974	4
3608517350	5
1100441213	1
1239460996	2
2762431119	3
3289450727	4
3472390548	5
818537153	1
1717536283	2
2445487066	3
2895548174	4
3996543475	5
284068765	1
804021484	2
1392000928	3
1842028852	4
1984010326	5
11267752	1
38327758	2
614278833	3
1179264968	4
2087334139	5
650226444	1
1845221860	2
1865965072	3
2559157678	4
3468158374	5
201938486	1
507916499	2
1647925433	3
3269881981	4
354547987	1
430569521	2
709509226	3
1360500232	4
2277519206	5
48989791	1
523979465	2
1197957165	3
2465029204	4
3426986832	5
377969756	1
652911259	2
1624951887	3
1890933555	4
3094892578	5
148986077	1
3463979463	2
3779957225	3
3800698871	4
3964935528	5
577822537	1
622885850	2
946865646	3
2755864137	4
3198857059	5
265616995	1
617646463	2
1718643446	3
2812599245	4
3279618561	5
869512006	1
1355545158	2
2304546144	3
3091492344	4
3125514185	5
1090396349	1
1203379467	2
1404400951	3
1631422532	4
2786421198	5
1225464485	1
3674514276	2
3695257312	3
3761459146	4
449648805	1
1753676062	2
2082617278	3
2767686571	4
3688635916	5
553381001	1
1887338049	2
2009361310	3
2865322329	4
3240343676	5
194579734	1
2821539116	2
2842282436	3
3662580604	4
3771564009	5
100005044	1
547958372	2
1234978258	3
1533011712	4
3760003479	5
1817781514	1
2416773157	2
3070724818	3
3091466519	4
3315703170	5
443733640	1
1593693881	2
2298705658	3
3885754119	4
40984048	1
658937326	2
843957422	3
2444942257	4
3261972272	5
45260961	1
225234187	2
1430230475	3
1764210350	4
3227259801	5
673749536	1
1377700868	2
2076693907	3
2988734918	4
3027718386	5
73971001	1
791997387	2
2579945048	3
3503984878	4
242162963	1
2376175782	2
2496119199	3
3265121113	4
620770838	1
673834208	2
1808836530	3
