Channel A: 
Mode: 2
N1/T1: 33.17 µs
Channel B: 
Mode: 1
N2/T2: 33.17 µs
tau (µs)	g2 Values
-155.5416369999997	0.0
-155.0296369999997	0.0
-154.5176369999997	0.0
-154.0056369999997	0.0
-153.4936369999997	0.0
-152.9816369999997	0.0
-152.4696369999997	0.0
-151.9576369999997	0.0
-151.4456369999997	0.0
-150.9336369999997	0.0
-150.4216369999997	0.0
-149.9096369999997	0.0
-149.3976369999997	0.0
-148.8856369999997	0.0
-148.3736369999997	0.0
-147.8616369999997	0.0
-147.3496369999997	0.0
-146.8376369999997	0.0
-146.3256369999997	0.0
-145.8136369999997	0.0
-145.3016369999997	0.0
-144.7896369999997	0.0
-144.2776369999997	0.0
-143.76563699999969	0.0
-143.25363699999969	0.0
-142.74163699999968	0.0
-142.22963699999968	0.0
-141.71763699999968	0.0
-141.20563699999968	0.0
-140.69363699999968	0.0
-140.18163699999968	0.0
-139.66963699999968	0.0
-139.15763699999968	0.0
-138.64563699999968	0.0
-138.13363699999968	0.0
-137.62163699999968	0.0
-137.10963699999968	0.0
-136.59763699999968	0.0
-136.08563699999968	0.0
-135.57363699999968	0.0
-135.06163699999968	0.0
-134.54963699999968	0.0
-134.03763699999968	0.0
-133.52563699999968	0.0
-133.01363699999968	0.0
-132.50163699999968	0.0
-131.98963699999968	0.0
-131.47763699999967	0.0
-130.96563699999967	0.0
-130.45363699999967	0.0
-129.94163699999967	0.0
-129.42963699999967	0.0
-128.91763699999967	0.0
-128.40563699999967	0.0
-127.89363699999967	0.0
-127.38163699999967	0.0
-126.86963699999967	0.0
-126.35763699999967	0.0
-125.84563699999967	0.0
-125.33363699999967	0.0
-124.82163699999967	0.0
-124.30963699999967	0.0
-123.79763699999967	0.0
-123.28563699999967	0.0
-122.77363699999967	0.0
-122.26163699999967	0.0
-121.74963699999967	0.0
-121.23763699999967	0.0
-120.72563699999967	0.0
-120.21363699999966	0.0
-119.70163699999966	0.0
-119.18963699999966	0.0
-118.67763699999966	0.0
-118.16563699999966	0.0
-117.65363699999966	0.0
-117.14163699999966	0.0
-116.62963699999966	0.0
-116.11763699999966	0.0
-115.60563699999966	0.0
-115.09363699999966	0.0
-114.58163699999966	0.0
-114.06963699999966	0.0
-113.55763699999966	0.0
-113.04563699999966	0.0
-112.53363699999966	0.0
-112.02163699999966	0.0
-111.50963699999966	0.0
-110.99763699999966	0.0
-110.48563699999966	0.0
-109.97363699999966	0.0
-109.46163699999966	0.0
-108.94963699999965	0.0
-108.43763699999965	0.0
-107.92563699999965	0.0
-107.41363699999965	0.0
-106.90163699999965	0.0
-106.38963699999965	0.0
-105.87763699999965	0.0
-105.36563699999965	0.0
-104.85363699999965	0.0
-104.34163699999965	0.0
-103.82963699999965	0.0
-103.31763699999965	0.0
-102.80563699999965	0.0
-102.29363699999965	0.0
-101.78163699999965	0.0
-101.26963699999965	0.0
-100.75763699999965	0.0
-100.24563699999965	0.0
-99.73363699999965	0.0
-99.22163699999965	0.0
-98.70963699999965	0.0
-98.19763699999965	0.0
-97.68563699999964	0.0
-97.17363699999964	0.0
-96.66163699999964	0.0
-96.14963699999964	0.0
-95.63763699999964	0.0
-95.12563699999964	0.0
-94.61363699999964	0.0
-94.10163699999964	0.0
-93.58963699999964	0.0
-93.07763699999964	0.0
-92.56563699999964	0.0
-92.05363699999964	0.0
-91.54163699999964	0.0
-91.02963699999964	0.0
-90.51763699999964	0.0
-90.00563699999964	0.0
-89.49363699999964	0.0
-88.98163699999964	0.0
-88.46963699999964	0.0
-87.95763699999964	0.0
-87.44563699999964	0.0
-86.93363699999964	0.0
-86.42163699999963	0.0
-85.90963699999963	0.0
-85.39763699999963	0.0
-84.88563699999963	0.0
-84.37363699999963	0.0
-83.86163699999963	0.0
-83.34963699999963	0.0
-82.83763699999963	0.0
-82.32563699999963	0.0
-81.81363699999963	0.0
-81.30163699999963	0.0
-80.78963699999963	0.0
-80.27763699999963	0.0
-79.76563699999963	0.0
-79.25363699999963	0.0
-78.74163699999963	0.0
-78.22963699999963	0.0
-77.71763699999963	0.0
-77.20563699999963	0.0
-76.69363699999963	0.0
-76.18163699999963	0.0
-75.66963699999963	0.0
-75.15763699999962	0.0
-74.64563699999962	0.0
-74.13363699999962	0.0
-73.62163699999962	0.0
-73.10963699999962	0.0
-72.59763699999962	0.0
-72.08563699999962	0.0
-71.57363699999962	0.0
-71.06163699999962	0.0
-70.54963699999962	0.0
-70.03763699999962	0.0
-69.52563699999962	0.0
-69.01363699999962	0.0
-68.50163699999962	0.0
-67.98963699999962	0.0
-67.47763699999962	0.0
-66.96563699999962	0.0
-66.45363699999962	0.0
-65.94163699999962	0.0
-65.42963699999962	0.0
-64.91763699999962	0.0
-64.40563699999961	0.0
-63.893636999999615	0.0
-63.381636999999614	0.0
-62.869636999999614	0.0
-62.35763699999961	0.0
-61.84563699999961	0.0
-61.33363699999961	0.0
-60.82163699999961	0.0
-60.30963699999961	0.0
-59.79763699999961	0.0
-59.28563699999961	0.0
-58.77363699999961	0.0
-58.26163699999961	0.0
-57.74963699999961	0.0
-57.23763699999961	0.0
-56.72563699999961	0.0
-56.21363699999961	0.0
-55.70163699999961	0.0
-55.18963699999961	0.0
-54.677636999999606	0.0
-54.165636999999606	0.0
-53.653636999999605	0.0
-53.141636999999605	0.0
-52.629636999999605	0.0
-52.117636999999604	0.0
-51.605636999999604	0.0
-51.0936369999996	0.0
-50.5816369999996	0.0
-50.0696369999996	0.0
-49.5576369999996	0.0
-49.0456369999996	0.0
-48.5336369999996	0.0
-48.0216369999996	0.0
-47.5096369999996	0.0
-46.9976369999996	0.0
-46.4856369999996	0.0
-45.9736369999996	0.0
-45.4616369999996	0.0
-44.9496369999996	0.0
-44.4376369999996	0.0
-43.9256369999996	0.0
-43.413636999999596	0.0
-42.901636999999596	0.0
-42.389636999999595	0.0
-41.877636999999595	0.0
-41.365636999999595	0.0
-40.853636999999594	0.0
-40.341636999999594	0.0
-39.82963699999959	0.0
-39.31763699999959	0.0
-38.80563699999959	0.0
-38.29363699999959	0.0
-37.78163699999959	0.0
-37.26963699999959	0.0
-36.75763699999959	0.0
-36.24563699999959	0.0
-35.73363699999959	0.0
-35.22163699999959	0.0
-34.70963699999959	0.0
-34.19763699999959	0.0
-33.68563699999959	0.0
-33.17363699999959	0.0
-32.66163699999959	0.0
-32.149636999999586	0.0
-31.637636999999586	0.0
-31.125636999999585	0.0
-30.613636999999585	0.0
-30.101636999999585	0.0
-29.589636999999584	0.0
-29.077636999999584	0.0
-28.565636999999583	0.0
-28.053636999999583	0.0
-27.541636999999582	0.0
-27.029636999999582	0.0
-26.51763699999958	0.0
-26.00563699999958	0.0
-25.49363699999958	0.0
-24.98163699999958	0.0
-24.46963699999958	0.0
-23.95763699999958	0.0
-23.44563699999958	0.0
-22.933636999999578	0.0
-22.421636999999578	0.0
-21.909636999999577	0.0
-21.397636999999577	0.0
-20.885636999999576	0.0
-20.373636999999576	0.0
-19.861636999999575	0.0
-19.349636999999575	0.0
-18.837636999999575	0.0
-18.325636999999574	0.0
-17.813636999999574	0.0
-17.301636999999573	0.0
-16.789636999999573	0.0
-16.277636999999572	0.0
