DifferenceValue 	 Stop
1728990491	3
2264966318	4
3225008002	5
160656034	1
902633113	2
1416602169	3
2794634677	4
3652593245	5
373959080	1
667938427	2
1313967021	3
2275926604	4
3046954946	5
605000927	1
729982320	2
2142019431	3
2407998841	4
3082989160	5
225644013	1
986644882	2
2868574673	3
3444604016	4
3755623725	5
1271201039	1
1690218711	2
2409207934	3
3835244438	4
3855987716	5
384527186	1
557547010	2
1227527070	3
1468541677	4
1762602612	5
115292890	1
1350291847	2
1498271561	3
2313269822	4
2848261882	5
310562094	1
2022518379	2
2060541628	3
2160536410	4
3783539599	5
1711741070	1
1738724427	2
2429744955	3
3361704723	4
3875737184	5
1269213005	1
2079200774	2
3120200137	3
3210143433	4
3747212889	5
417716785	1
793696662	2
1144716205	3
3339651385	4
3867710928	5
903070902	1
1389050447	2
2178044826	3
2954080786	4
3209020604	5
2301844143	1
2345787380	2
3489826235	3
3662845881	4
3790790999	5
416829090	1
1315828394	2
1759807975	3
2536805771	4
2969818939	5
486182574	1
765202425	2
1761242003	3
2274183386	4
2294926606	5
291310355	1
945287512	2
1258297252	3
1740278061	4
3514285714	5
43838421	1
386831173	2
469810992	3
573832448	4
2949848860	5
1211275223	1
1551306186	2
2023286936	3
2283266467	4
3356266177	5
307480421	1
328225201	2
1407478739	3
1516538687	4
3176496288	5
1965284549	1
2513237126	2
2836256495	3
3174237764	4
3992278183	5
35988918	1
165968657	2
1614935237	3
2729926186	4
3013988686	5
326901793	1
817922429	2
1278934718	3
1372877840	4
2066931356	5
756935357	1
1671933387	2
1716916645	3
1825896492	4
1846633110	5
117016464	1
375049572	2
495071196	3
2454042616	4
3180023479	5
327865725	1
1689892565	2
1784874304	3
3183893029	4
3286876275	5
1691533862	1
1781557051	2
1982498609	3
3320511710	4
3390534905	5
778000870	1
2338997622	2
2483025813	3
2689007135	4
3528017982	5
85913794	1
1577921735	2
2025901159	3
2117922952	4
3047881511	5
1107849097	1
2332840753	2
2886818353	3
3449827798	4
3825809023	5
649760149	1
679701883	2
808721582	3
1506752378	4
1825693706	5
787362307	1
1763402782	2
1949384389	3
2299412114	4
3400409447	5
865652650	1
1117710860	2
1503690514	3
2526691036	4
3351710281	5
56874594	1
1552885028	2
1782864901	3
2602904157	4
2892885608	5
879595438	1
1403573634	2
1535553512	3
1686571720	4
2424602977	5
382416280	1
1446455299	2
1467198574	3
2375416338	4
2796437674	5
179415621	1
624413593	2
1186395166	3
1442456565	4
2716405770	5
209901913	1
790896638	2
3135866770	3
3355900116	4
3439843238	5
348815225	1
934842764	2
1329862361	3
2423821371	4
2474884740	5
146601934	1
927604658	2
1256599500	3
2323600254	4
2572621697	5
673352277	1
1130346990	2
2417345772	3
3329308326	4
3906299516	5
388672411	1
942650213	2
1848689587	3
2406720595	4
2786700425	5
780604253	1
1370555256	2
